source_file,Water Control Zone,Station,Dates,monitoring_period,monitoring_start_year,temperature,salinity,dissolved_oxygen_mg_l,turbidity,suspended_solids,chlorophyll_a,ammonia_nitrogen,total_inorganic_nitrogen
marine-historical-2012-en.csv,Eastern Buffer,EM1,2012-06-04,2012-13,2012,26.8,31.7,6.9,3.4,3.0,1.0,0.09,0.14
marine-historical-2012-en.csv,Eastern Buffer,EM1,2012-07-06,2012-13,2012,27.2,29.2,6.2,21.2,2.3,3.7,0.094,0.39
marine-historical-2012-en.csv,Eastern Buffer,EM1,2012-08-06,2012-13,2012,27.1,31.4,4.4,0.8,0.9,0.9,0.11,0.25
marine-historical-2012-en.csv,Eastern Buffer,EM1,2012-09-07,2012-13,2012,28.7,30.2,5.7,1.1,1.8,4.5,0.11,0.23
marine-historical-2012-en.csv,Eastern Buffer,EM1,2012-10-04,2012-13,2012,27.8,32.1,5.2,3.2,2.9,0.8,0.12,0.22
marine-historical-2012-en.csv,Eastern Buffer,EM1,2012-11-02,2012-13,2012,25.2,32.5,5.6,3.2,3.9,0.5,0.06,0.18
marine-historical-2012-en.csv,Eastern Buffer,EM1,2012-12-08,2012-13,2012,21.1,32.8,5.4,1.7,1.6,0.7,0.084,0.27
marine-historical-2012-en.csv,Eastern Buffer,EM2,2012-01-09,2011-12,2011,17.1,31.0,8.6,1.4,2.2,5.7,0.027,0.27
marine-historical-2012-en.csv,Eastern Buffer,EM2,2012-02-02,2011-12,2011,16.2,31.7,8.6,0.6,0.6,1.5,0.038,0.19
marine-historical-2012-en.csv,Eastern Buffer,EM2,2012-03-02,2011-12,2011,15.0,31.1,9.7,1.7,0.5,0.4,0.018,0.32
marine-historical-2012-en.csv,Eastern Buffer,EM2,2012-04-13,2012-13,2012,21.9,32.6,8.3,4.8,1.3,1.8,0.13,0.22
marine-historical-2012-en.csv,Eastern Buffer,EM2,2012-05-03,2012-13,2012,24.6,29.4,7.3,1.2,1.3,2.9,0.16,0.53
marine-historical-2012-en.csv,Eastern Buffer,EM2,2012-06-04,2012-13,2012,26.8,31.8,7.5,1.7,1.5,1.3,0.099,0.13
marine-historical-2012-en.csv,Eastern Buffer,EM2,2012-07-06,2012-13,2012,27.2,29.4,7.5,27.8,2.0,5.7,0.067,0.3
marine-historical-2012-en.csv,Eastern Buffer,EM2,2012-08-06,2012-13,2012,27.1,31.6,4.5,2.4,0.9,1.2,0.1,0.22
marine-historical-2012-en.csv,Eastern Buffer,EM2,2012-09-07,2012-13,2012,28.9,30.3,5.9,1.2,1.5,4.7,0.085,0.18
marine-historical-2012-en.csv,Eastern Buffer,EM2,2012-10-04,2012-13,2012,27.7,32.3,5.6,2.9,2.5,0.6,0.071,0.14
marine-historical-2012-en.csv,Eastern Buffer,EM2,2012-11-02,2012-13,2012,25.2,32.7,6.0,3.1,3.7,0.6,0.019,0.1
marine-historical-2012-en.csv,Eastern Buffer,EM2,2012-12-08,2012-13,2012,21.1,32.9,6.3,1.8,2.6,1.0,0.055,0.22
marine-historical-2012-en.csv,Eastern Buffer,EM3,2012-01-09,2011-12,2011,16.9,30.9,8.6,2.4,1.9,6.4,0.021,0.26
marine-historical-2012-en.csv,Eastern Buffer,EM3,2012-02-02,2011-12,2011,16.1,31.7,8.4,1.5,0.8,1.4,0.026,0.2
marine-historical-2012-en.csv,Eastern Buffer,EM3,2012-03-02,2011-12,2011,15.0,31.1,9.7,1.8,1.8,0.6,0.015,0.29
marine-historical-2012-en.csv,Eastern Buffer,EM3,2012-04-13,2012-13,2012,21.7,32.2,7.8,1.8,1.4,1.4,0.17,0.29
marine-historical-2012-en.csv,Eastern Buffer,EM3,2012-05-03,2012-13,2012,24.9,30.8,7.7,1.2,0.9,3.1,0.13,0.4
marine-historical-2012-en.csv,Eastern Buffer,EM3,2012-06-04,2012-13,2012,26.8,31.8,7.6,1.3,1.0,1.0,0.071,0.1
marine-historical-2012-en.csv,Eastern Buffer,EM3,2012-07-06,2012-13,2012,27.4,29.2,7.6,51.0,1.8,7.9,0.062,0.32
marine-historical-2012-en.csv,Eastern Buffer,EM3,2012-08-06,2012-13,2012,27.2,31.8,5.7,0.3,1.0,0.8,0.04,0.08
marine-historical-2012-en.csv,Eastern Buffer,EM3,2012-09-07,2012-13,2012,28.9,30.3,6.0,19.6,1.6,3.3,0.072,0.13
marine-historical-2012-en.csv,Eastern Buffer,EM3,2012-10-04,2012-13,2012,27.8,32.4,6.0,2.6,3.1,0.7,0.028,0.06
marine-historical-2012-en.csv,Eastern Buffer,EM3,2012-11-02,2012-13,2012,25.2,32.7,5.7,3.2,4.2,0.6,0.011,0.07
marine-historical-2012-en.csv,Eastern Buffer,EM3,2012-12-08,2012-13,2012,21.1,33.0,6.4,2.5,2.3,0.9,0.034,0.17
marine-historical-2012-en.csv,Eastern Buffer,ET1,2012-01-09,2011-12,2011,17.3,30.7,8.5,1.8,2.4,8.2,0.03,0.28
marine-historical-2012-en.csv,Eastern Buffer,ET1,2012-03-02,2011-12,2011,15.2,30.9,9.0,1.2,1.1,0.7,0.052,0.37
marine-historical-2012-en.csv,Eastern Buffer,ET1,2012-05-03,2012-13,2012,25.0,29.9,7.0,1.5,1.0,2.5,0.15,0.43
marine-historical-2012-en.csv,Eastern Buffer,ET1,2012-07-06,2012-13,2012,27.2,29.2,6.8,14.0,1.6,5.2,0.072,0.34
marine-historical-2012-en.csv,Eastern Buffer,ET1,2012-09-07,2012-13,2012,28.7,29.9,4.5,1.4,1.9,1.7,0.16,0.3
marine-historical-2012-en.csv,Eastern Buffer,ET1,2012-11-02,2012-13,2012,25.2,32.3,5.3,2.2,2.0,0.8,0.078,0.21
marine-historical-2012-en.csv,Eastern Buffer,ET2,2012-01-09,2011-12,2011,17.3,30.7,6.9,1.4,1.9,2.4,0.097,0.39
marine-historical-2012-en.csv,Eastern Buffer,ET2,2012-03-02,2011-12,2011,15.4,30.9,8.5,1.4,1.2,0.3,0.084,0.4
marine-historical-2012-en.csv,Eastern Buffer,ET2,2012-05-03,2012-13,2012,24.9,28.7,6.6,1.3,0.9,2.3,0.21,0.69
marine-historical-2012-en.csv,Eastern Buffer,ET2,2012-07-06,2012-13,2012,26.9,29.1,5.0,55.5,1.3,1.1,0.12,0.45
marine-historical-2012-en.csv,Eastern Buffer,ET2,2012-09-07,2012-13,2012,28.3,29.7,3.6,0.9,1.3,1.0,0.24,0.46
marine-historical-2012-en.csv,Eastern Buffer,ET2,2012-11-02,2012-13,2012,25.4,32.2,4.8,2.2,3.2,0.3,0.12,0.26
marine-historical-2012-en.csv,Junk Bay,JM3,2012-01-09,2011-12,2011,17.2,30.9,8.1,1.7,1.9,6.7,0.052,0.32
marine-historical-2012-en.csv,Junk Bay,JM3,2012-02-02,2011-12,2011,16.5,31.8,8.0,0.9,0.9,1.6,0.032,0.25
marine-historical-2012-en.csv,Junk Bay,JM3,2012-03-02,2011-12,2011,15.2,31.0,9.6,1.2,1.3,0.6,0.036,0.34
marine-historical-2012-en.csv,Junk Bay,JM3,2012-04-13,2012-13,2012,21.7,32.1,7.7,1.6,1.3,1.3,0.17,0.3
marine-historical-2012-en.csv,Junk Bay,JM3,2012-05-03,2012-13,2012,25.1,29.7,7.9,1.4,1.0,3.2,0.026,0.39
marine-historical-2012-en.csv,Junk Bay,JM3,2012-06-04,2012-13,2012,26.9,31.6,7.3,1.2,1.1,1.1,0.093,0.14
marine-historical-2012-en.csv,Junk Bay,JM3,2012-07-06,2012-13,2012,27.5,29.2,7.6,52.9,1.9,8.9,0.063,0.31
marine-historical-2012-en.csv,Junk Bay,JM3,2012-08-06,2012-13,2012,26.9,31.3,4.4,1.0,1.0,0.6,0.11,0.26
marine-historical-2012-en.csv,Junk Bay,JM3,2012-09-07,2012-13,2012,28.7,30.1,5.4,1.3,1.6,2.7,0.14,0.29
marine-historical-2012-en.csv,Junk Bay,JM3,2012-10-04,2012-13,2012,27.7,32.0,4.9,3.3,4.1,0.5,0.15,0.27
marine-historical-2012-en.csv,Junk Bay,JM3,2012-11-02,2012-13,2012,25.2,32.4,5.6,3.0,3.0,0.4,0.065,0.2
marine-historical-2012-en.csv,Junk Bay,JM3,2012-12-08,2012-13,2012,21.0,32.9,6.5,2.3,1.5,0.2,0.034,0.18
marine-historical-2012-en.csv,Junk Bay,JM4,2012-01-09,2011-12,2011,17.1,30.9,8.1,1.5,1.7,5.3,0.044,0.31
marine-historical-2012-en.csv,Junk Bay,JM4,2012-02-02,2011-12,2011,16.2,31.7,8.7,0.7,0.5,1.0,0.046,0.2
marine-historical-2012-en.csv,Junk Bay,JM4,2012-03-02,2011-12,2011,14.9,31.1,9.7,1.7,1.1,0.7,0.031,0.34
marine-historical-2012-en.csv,Junk Bay,JM4,2012-04-13,2012-13,2012,21.7,32.0,7.8,1.6,1.4,1.6,0.18,0.32
marine-historical-2012-en.csv,Junk Bay,JM4,2012-05-03,2012-13,2012,24.8,29.0,7.3,1.4,1.2,2.5,0.16,0.51
marine-historical-2012-en.csv,Junk Bay,JM4,2012-06-04,2012-13,2012,26.8,31.7,7.1,2.5,1.9,1.1,0.085,0.12
marine-historical-2012-en.csv,Junk Bay,JM4,2012-07-06,2012-13,2012,27.4,29.6,8.2,53.5,1.7,11.0,0.048,0.25
marine-historical-2012-en.csv,Junk Bay,JM4,2012-08-06,2012-13,2012,26.9,31.4,4.3,1.2,1.0,1.0,0.11,0.24
